Código do colaborador,Data de Admissão,Data de desligamento,Ano-mês de referência,Equipe
AG1O,2025-09-13,,2025-11,Equipe 11
AG1O,2025-09-13,,2025-12,Equipe 11
L73D,2025-04-16,,2025-05,Equipe 3
L73D,2025-04-16,,2025-06,Equipe 3
L73D,2025-04-16,,2025-07,Equipe 3
L73D,2025-04-16,,2025-08,Equipe 3
L73D,2025-04-16,,2025-09,Equipe 3
L73D,2025-04-16,,2025-10,Equipe 3
L73D,2025-04-16,,2025-11,Equipe 3
L73D,2025-04-16,,2025-12,Equipe 3
9PH3,2025-06-18,,2025-07,Equipe 18
9PH3,2025-06-18,,2025-08,Equipe 18
9PH3,2025-06-18,,2025-09,Equipe 18
9PH3,2025-06-18,,2025-10,Equipe 18
9PH3,2025-06-18,,2025-11,Equipe 18
9PH3,2025-06-18,,2025-12,Equipe 18
I379,2025-08-26,,2025-09,Equipe 8
I379,2025-08-26,,2025-10,Equipe 8
I379,2025-08-26,,2025-11,Equipe 8
I379,2025-08-26,,2025-12,Equipe 8
U261,2025-01-04,,2025-02,Equipe 10
U261,2025-01-04,,2025-03,Equipe 10
U261,2025-01-04,,2025-04,Equipe 10
U261,2025-01-04,,2025-05,Equipe 10
U261,2025-01-04,,2025-06,Equipe 10
U261,2025-01-04,,2025-07,Equipe 10
U261,2025-01-04,,2025-08,Equipe 10
U261,2025-01-04,,2025-09,Equipe 10
U261,2025-01-04,,2025-10,Equipe 10
U261,2025-01-04,,2025-11,Equipe 10
U261,2025-01-04,,2025-12,Equipe 10
92K4,2025-01-04,,2025-02,Equipe 4
92K4,2025-01-04,,2025-03,Equipe 4
92K4,2025-01-04,,2025-04,Equipe 4
92K4,2025-01-04,,2025-05,Equipe 4
92K4,2025-01-04,,2025-06,Equipe 4
92K4,2025-01-04,,2025-07,Equipe 4
92K4,2025-01-04,,2025-08,Equipe 4
92K4,2025-01-04,,2025-09,Equipe 4
92K4,2025-01-04,,2025-10,Equipe 4
92K4,2025-01-04,,2025-11,Equipe 4
92K4,2025-01-04,,2025-12,Equipe 4
2QPR,2025-08-15,2025-11-07,2025-09,Equipe 14
2QPR,2025-08-15,2025-11-07,2025-10,Equipe 14
2QPR,2025-08-15,2025-11-07,2025-11,Equipe 14
75PR,2025-11-10,2025-12-03,2025-12,Equipe 13
2ESP,2025-05-03,,2025-06,Equipe 2
2ESP,2025-05-03,,2025-07,Equipe 2
2ESP,2025-05-03,,2025-08,Equipe 2
2ESP,2025-05-03,,2025-09,Equipe 2
2ESP,2025-05-03,,2025-10,Equipe 2
2ESP,2025-05-03,,2025-11,Equipe 2
2ESP,2025-05-03,,2025-12,Equipe 2
RVU8,2025-01-13,,2025-02,Equipe 14
RVU8,2025-01-13,,2025-03,Equipe 14
RVU8,2025-01-13,,2025-04,Equipe 14
RVU8,2025-01-13,,2025-05,Equipe 14
RVU8,2025-01-13,,2025-06,Equipe 14
RVU8,2025-01-13,,2025-07,Equipe 14
RVU8,2025-01-13,,2025-08,Equipe 14
RVU8,2025-01-13,,2025-09,Equipe 14
RVU8,2025-01-13,,2025-10,Equipe 14
RVU8,2025-01-13,,2025-11,Equipe 14
RVU8,2025-01-13,,2025-12,Equipe 14
YJNE,2025-08-03,2025-09-17,2025-09,Equipe 15
00V8,2025-01-01,,2025-01,Equipe 4
00V8,2025-01-01,,2025-02,Equipe 4
00V8,2025-01-01,,2025-03,Equipe 4
00V8,2025-01-01,,2025-04,Equipe 4
00V8,2025-01-01,,2025-05,Equipe 4
00V8,2025-01-01,,2025-06,Equipe 6
00V8,2025-01-01,,2025-07,Equipe 6
00V8,2025-01-01,,2025-08,Equipe 6
00V8,2025-01-01,,2025-09,Equipe 6
00V8,2025-01-01,,2025-10,Equipe 2
00V8,2025-01-01,,2025-11,Equipe 2
00V8,2025-01-01,,2025-12,Equipe 2
0YBY,2025-02-24,,2025-03,Equipe 20
0YBY,2025-02-24,,2025-04,Equipe 20
0YBY,2025-02-24,,2025-05,Equipe 20
0YBY,2025-02-24,,2025-06,Equipe 20
0YBY,2025-02-24,,2025-07,Equipe 20
0YBY,2025-02-24,,2025-08,Equipe 20
0YBY,2025-02-24,,2025-09,Equipe 20
0YBY,2025-02-24,,2025-10,Equipe 20
0YBY,2025-02-24,,2025-11,Equipe 20
0YBY,2025-02-24,,2025-12,Equipe 20
4AWT,2025-06-12,,2025-07,Equipe 12
4AWT,2025-06-12,,2025-08,Equipe 12
4AWT,2025-06-12,,2025-09,Equipe 12
4AWT,2025-06-12,,2025-10,Equipe 12
4AWT,2025-06-12,,2025-11,Equipe 12
4AWT,2025-06-12,,2025-12,Equipe 12
Y088,2025-07-25,,2025-08,Equipe 13
Y088,2025-07-25,,2025-09,Equipe 13
Y088,2025-07-25,,2025-10,Equipe 13
Y088,2025-07-25,,2025-11,Equipe 13
Y088,2025-07-25,,2025-12,Equipe 13
15BY,2025-08-12,,2025-09,Equipe 14
15BY,2025-08-12,,2025-10,Equipe 14
15BY,2025-08-12,,2025-11,Equipe 14
15BY,2025-08-12,,2025-12,Equipe 14
VZK3,2025-07-20,,2025-08,Equipe 13
VZK3,2025-07-20,,2025-09,Equipe 13
VZK3,2025-07-20,,2025-10,Equipe 13
VZK3,2025-07-20,,2025-11,Equipe 13
VZK3,2025-07-20,,2025-12,Equipe 13
I8BZ,2025-02-04,2025-03-19,2025-03,Equipe 15
BF1I,2025-06-14,,2025-07,Equipe 20
BF1I,2025-06-14,,2025-08,Equipe 20
BF1I,2025-06-14,,2025-09,Equipe 20
BF1I,2025-06-14,,2025-10,Equipe 20
BF1I,2025-06-14,,2025-11,Equipe 20
BF1I,2025-06-14,,2025-12,Equipe 20
3LDQ,2025-04-09,,2025-05,Equipe 13
3LDQ,2025-04-09,,2025-06,Equipe 13
3LDQ,2025-04-09,,2025-07,Equipe 13
3LDQ,2025-04-09,,2025-08,Equipe 13
3LDQ,2025-04-09,,2025-09,Equipe 13
3LDQ,2025-04-09,,2025-10,Equipe 13
3LDQ,2025-04-09,,2025-11,Equipe 13
3LDQ,2025-04-09,,2025-12,Equipe 13
YUN3,2025-09-20,,2025-10,Equipe 16
YUN3,2025-09-20,,2025-11,Equipe 19
YUN3,2025-09-20,,2025-12,Equipe 19
UVYR,2025-05-25,,2025-06,Equipe 9
UVYR,2025-05-25,,2025-07,Equipe 9
UVYR,2025-05-25,,2025-08,Equipe 9
UVYR,2025-05-25,,2025-09,Equipe 9
UVYR,2025-05-25,,2025-10,Equipe 9
UVYR,2025-05-25,,2025-11,Equipe 9
UVYR,2025-05-25,,2025-12,Equipe 9
0QF4,2025-11-10,,2025-12,Equipe 1
B8DW,2025-09-07,,2025-10,Equipe 9
B8DW,2025-09-07,,2025-11,Equipe 9
B8DW,2025-09-07,,2025-12,Equipe 9
OECB,2025-11-02,,2025-12,Equipe 18
PMBJ,2025-08-13,2025-11-21,2025-09,Equipe 16
PMBJ,2025-08-13,2025-11-21,2025-10,Equipe 16
PMBJ,2025-08-13,2025-11-21,2025-11,Equipe 16
PI4H,2025-02-17,,2025-03,Equipe 9
PI4H,2025-02-17,,2025-04,Equipe 9
PI4H,2025-02-17,,2025-05,Equipe 9
PI4H,2025-02-17,,2025-06,Equipe 9
PI4H,2025-02-17,,2025-07,Equipe 9
PI4H,2025-02-17,,2025-08,Equipe 9
PI4H,2025-02-17,,2025-09,Equipe 9
PI4H,2025-02-17,,2025-10,Equipe 9
PI4H,2025-02-17,,2025-11,Equipe 9
PI4H,2025-02-17,,2025-12,Equipe 9
N3QX,2025-06-11,2025-12-27,2025-07,Equipe 1
N3QX,2025-06-11,2025-12-27,2025-08,Equipe 1
N3QX,2025-06-11,2025-12-27,2025-09,Equipe 1
N3QX,2025-06-11,2025-12-27,2025-10,Equipe 1
N3QX,2025-06-11,2025-12-27,2025-11,Equipe 1
N3QX,2025-06-11,2025-12-27,2025-12,Equipe 1
KHKT,2025-07-12,,2025-08,Equipe 8
KHKT,2025-07-12,,2025-09,Equipe 8
KHKT,2025-07-12,,2025-10,Equipe 8
KHKT,2025-07-12,,2025-11,Equipe 8
KHKT,2025-07-12,,2025-12,Equipe 8
GBTY,2025-08-25,2025-12-03,2025-09,Equipe 14
GBTY,2025-08-25,2025-12-03,2025-10,Equipe 14
GBTY,2025-08-25,2025-12-03,2025-11,Equipe 14
GBTY,2025-08-25,2025-12-03,2025-12,Equipe 14
GTHC,2025-09-10,,2025-10,Equipe 20
GTHC,2025-09-10,,2025-11,Equipe 20
GTHC,2025-09-10,,2025-12,Equipe 20
W81X,2025-07-14,,2025-08,Equipe 6
W81X,2025-07-14,,2025-09,Equipe 6
W81X,2025-07-14,,2025-10,Equipe 6
W81X,2025-07-14,,2025-11,Equipe 6
W81X,2025-07-14,,2025-12,Equipe 6
E6VA,2025-11-18,,2025-12,Equipe 11
05G1,2025-05-03,,2025-06,Equipe 13
05G1,2025-05-03,,2025-07,Equipe 13
05G1,2025-05-03,,2025-08,Equipe 13
05G1,2025-05-03,,2025-09,Equipe 13
05G1,2025-05-03,,2025-10,Equipe 12
05G1,2025-05-03,,2025-11,Equipe 12
05G1,2025-05-03,,2025-12,Equipe 12
X3J1,2025-04-26,2025-09-13,2025-05,Equipe 16
X3J1,2025-04-26,2025-09-13,2025-06,Equipe 16
X3J1,2025-04-26,2025-09-13,2025-07,Equipe 16
X3J1,2025-04-26,2025-09-13,2025-08,Equipe 16
X3J1,2025-04-26,2025-09-13,2025-09,Equipe 16
L7R8,2025-11-25,,2025-12,Equipe 8
431R,2025-05-23,,2025-06,Equipe 11
431R,2025-05-23,,2025-07,Equipe 18
431R,2025-05-23,,2025-08,Equipe 18
431R,2025-05-23,,2025-09,Equipe 18
431R,2025-05-23,,2025-10,Equipe 18
431R,2025-05-23,,2025-11,Equipe 18
431R,2025-05-23,,2025-12,Equipe 18
UPFR,2025-01-08,2025-07-04,2025-02,Equipe 16
UPFR,2025-01-08,2025-07-04,2025-03,Equipe 16
UPFR,2025-01-08,2025-07-04,2025-04,Equipe 16
UPFR,2025-01-08,2025-07-04,2025-05,Equipe 16
UPFR,2025-01-08,2025-07-04,2025-06,Equipe 16
UPFR,2025-01-08,2025-07-04,2025-07,Equipe 16
2P3Y,2025-10-20,2025-12-24,2025-11,Equipe 4
2P3Y,2025-10-20,2025-12-24,2025-12,Equipe 4
VB5U,2025-02-01,,2025-02,Equipe 14
VB5U,2025-02-01,,2025-03,Equipe 14
VB5U,2025-02-01,,2025-04,Equipe 14
VB5U,2025-02-01,,2025-05,Equipe 14
VB5U,2025-02-01,,2025-06,Equipe 14
VB5U,2025-02-01,,2025-07,Equipe 14
VB5U,2025-02-01,,2025-08,Equipe 4
VB5U,2025-02-01,,2025-09,Equipe 4
VB5U,2025-02-01,,2025-10,Equipe 4
VB5U,2025-02-01,,2025-11,Equipe 4
VB5U,2025-02-01,,2025-12,Equipe 4
L5NW,2025-03-16,,2025-04,Equipe 1
L5NW,2025-03-16,,2025-05,Equipe 1
L5NW,2025-03-16,,2025-06,Equipe 1
L5NW,2025-03-16,,2025-07,Equipe 1
L5NW,2025-03-16,,2025-08,Equipe 1
L5NW,2025-03-16,,2025-09,Equipe 1
L5NW,2025-03-16,,2025-10,Equipe 1
L5NW,2025-03-16,,2025-11,Equipe 1
L5NW,2025-03-16,,2025-12,Equipe 1
QVRR,2025-09-26,,2025-10,Equipe 6
QVRR,2025-09-26,,2025-11,Equipe 6
QVRR,2025-09-26,,2025-12,Equipe 6
9A7M,2025-03-12,2025-07-24,2025-04,Equipe 17
9A7M,2025-03-12,2025-07-24,2025-05,Equipe 17
9A7M,2025-03-12,2025-07-24,2025-06,Equipe 17
9A7M,2025-03-12,2025-07-24,2025-07,Equipe 17
FP05,2025-01-11,,2025-02,Equipe 12
FP05,2025-01-11,,2025-03,Equipe 12
FP05,2025-01-11,,2025-04,Equipe 12
FP05,2025-01-11,,2025-05,Equipe 12
FP05,2025-01-11,,2025-06,Equipe 12
FP05,2025-01-11,,2025-07,Equipe 12
FP05,2025-01-11,,2025-08,Equipe 12
FP05,2025-01-11,,2025-09,Equipe 12
FP05,2025-01-11,,2025-10,Equipe 12
FP05,2025-01-11,,2025-11,Equipe 12
FP05,2025-01-11,,2025-12,Equipe 12
9P45,2025-09-03,,2025-10,Equipe 17
9P45,2025-09-03,,2025-11,Equipe 17
9P45,2025-09-03,,2025-12,Equipe 17
2BFS,2025-11-03,,2025-12,Equipe 8
OZPT,2025-06-02,,2025-07,Equipe 6
OZPT,2025-06-02,,2025-08,Equipe 6
OZPT,2025-06-02,,2025-09,Equipe 6
OZPT,2025-06-02,,2025-10,Equipe 6
OZPT,2025-06-02,,2025-11,Equipe 6
OZPT,2025-06-02,,2025-12,Equipe 6
X497,2025-03-12,2025-04-19,2025-04,Equipe 5
W19V,2025-04-24,,2025-05,Equipe 12
W19V,2025-04-24,,2025-06,Equipe 12
W19V,2025-04-24,,2025-07,Equipe 12
W19V,2025-04-24,,2025-08,Equipe 12
W19V,2025-04-24,,2025-09,Equipe 12
W19V,2025-04-24,,2025-10,Equipe 12
W19V,2025-04-24,,2025-11,Equipe 12
W19V,2025-04-24,,2025-12,Equipe 12
W3RT,2025-01-08,2025-06-13,2025-02,Equipe 10
W3RT,2025-01-08,2025-06-13,2025-03,Equipe 10
W3RT,2025-01-08,2025-06-13,2025-04,Equipe 10
W3RT,2025-01-08,2025-06-13,2025-05,Equipe 13
W3RT,2025-01-08,2025-06-13,2025-06,Equipe 13
QOHM,2025-03-28,2025-09-08,2025-04,Equipe 13
QOHM,2025-03-28,2025-09-08,2025-05,Equipe 13
QOHM,2025-03-28,2025-09-08,2025-06,Equipe 8
QOHM,2025-03-28,2025-09-08,2025-07,Equipe 8
QOHM,2025-03-28,2025-09-08,2025-08,Equipe 8
QOHM,2025-03-28,2025-09-08,2025-09,Equipe 8
UH8L,2025-04-14,,2025-05,Equipe 3
UH8L,2025-04-14,,2025-06,Equipe 3
UH8L,2025-04-14,,2025-07,Equipe 3
UH8L,2025-04-14,,2025-08,Equipe 3
UH8L,2025-04-14,,2025-09,Equipe 3
UH8L,2025-04-14,,2025-10,Equipe 3
UH8L,2025-04-14,,2025-11,Equipe 3
UH8L,2025-04-14,,2025-12,Equipe 3
MN4R,2025-05-27,2025-10-04,2025-06,Equipe 19
MN4R,2025-05-27,2025-10-04,2025-07,Equipe 19
MN4R,2025-05-27,2025-10-04,2025-08,Equipe 19
MN4R,2025-05-27,2025-10-04,2025-09,Equipe 18
MN4R,2025-05-27,2025-10-04,2025-10,Equipe 18
SOXL,2025-08-28,,2025-09,Equipe 11
SOXL,2025-08-28,,2025-10,Equipe 11
SOXL,2025-08-28,,2025-11,Equipe 11
SOXL,2025-08-28,,2025-12,Equipe 11
TA8I,2025-06-03,,2025-07,Equipe 18
TA8I,2025-06-03,,2025-08,Equipe 18
TA8I,2025-06-03,,2025-09,Equipe 18
TA8I,2025-06-03,,2025-10,Equipe 18
TA8I,2025-06-03,,2025-11,Equipe 18
TA8I,2025-06-03,,2025-12,Equipe 18
RCD9,2025-06-07,,2025-07,Equipe 1
RCD9,2025-06-07,,2025-08,Equipe 1
RCD9,2025-06-07,,2025-09,Equipe 1
RCD9,2025-06-07,,2025-10,Equipe 1
RCD9,2025-06-07,,2025-11,Equipe 1
RCD9,2025-06-07,,2025-12,Equipe 1
AS44,2025-10-16,,2025-11,Equipe 2
AS44,2025-10-16,,2025-12,Equipe 2
Q4HE,2025-03-01,,2025-03,Equipe 16
Q4HE,2025-03-01,,2025-04,Equipe 16
Q4HE,2025-03-01,,2025-05,Equipe 16
Q4HE,2025-03-01,,2025-06,Equipe 16
Q4HE,2025-03-01,,2025-07,Equipe 16
Q4HE,2025-03-01,,2025-08,Equipe 16
Q4HE,2025-03-01,,2025-09,Equipe 16
Q4HE,2025-03-01,,2025-10,Equipe 16
Q4HE,2025-03-01,,2025-11,Equipe 16
Q4HE,2025-03-01,,2025-12,Equipe 16
Z5ED,2025-04-18,,2025-05,Equipe 1
Z5ED,2025-04-18,,2025-06,Equipe 1
Z5ED,2025-04-18,,2025-07,Equipe 1
Z5ED,2025-04-18,,2025-08,Equipe 1
Z5ED,2025-04-18,,2025-09,Equipe 1
Z5ED,2025-04-18,,2025-10,Equipe 1
Z5ED,2025-04-18,,2025-11,Equipe 1
Z5ED,2025-04-18,,2025-12,Equipe 1
JJTF,2025-06-01,,2025-06,Equipe 1
JJTF,2025-06-01,,2025-07,Equipe 1
JJTF,2025-06-01,,2025-08,Equipe 1
JJTF,2025-06-01,,2025-09,Equipe 1
JJTF,2025-06-01,,2025-10,Equipe 1
JJTF,2025-06-01,,2025-11,Equipe 1
JJTF,2025-06-01,,2025-12,Equipe 1
O7Y2,2025-09-08,,2025-10,Equipe 2
O7Y2,2025-09-08,,2025-11,Equipe 2
O7Y2,2025-09-08,,2025-12,Equipe 2
2T1T,2025-03-23,,2025-04,Equipe 15
2T1T,2025-03-23,,2025-05,Equipe 15
2T1T,2025-03-23,,2025-06,Equipe 15
2T1T,2025-03-23,,2025-07,Equipe 15
2T1T,2025-03-23,,2025-08,Equipe 15
2T1T,2025-03-23,,2025-09,Equipe 15
2T1T,2025-03-23,,2025-10,Equipe 15
2T1T,2025-03-23,,2025-11,Equipe 15
2T1T,2025-03-23,,2025-12,Equipe 15
DGNN,2025-04-28,,2025-05,Equipe 10
DGNN,2025-04-28,,2025-06,Equipe 10
DGNN,2025-04-28,,2025-07,Equipe 10
DGNN,2025-04-28,,2025-08,Equipe 10
DGNN,2025-04-28,,2025-09,Equipe 10
DGNN,2025-04-28,,2025-10,Equipe 10
DGNN,2025-04-28,,2025-11,Equipe 10
DGNN,2025-04-28,,2025-12,Equipe 10
L9EK,2025-11-27,,2025-12,Equipe 13
A024,2025-10-02,,2025-11,Equipe 13
A024,2025-10-02,,2025-12,Equipe 13
SCOS,2025-04-10,,2025-05,Equipe 13
SCOS,2025-04-10,,2025-06,Equipe 13
SCOS,2025-04-10,,2025-07,Equipe 13
SCOS,2025-04-10,,2025-08,Equipe 13
SCOS,2025-04-10,,2025-09,Equipe 13
SCOS,2025-04-10,,2025-10,Equipe 13
SCOS,2025-04-10,,2025-11,Equipe 13
SCOS,2025-04-10,,2025-12,Equipe 13
S3EO,2025-07-23,,2025-08,Equipe 19
S3EO,2025-07-23,,2025-09,Equipe 19
S3EO,2025-07-23,,2025-10,Equipe 19
S3EO,2025-07-23,,2025-11,Equipe 19
S3EO,2025-07-23,,2025-12,Equipe 19
QM1H,2025-06-15,,2025-07,Equipe 19
QM1H,2025-06-15,,2025-08,Equipe 19
QM1H,2025-06-15,,2025-09,Equipe 19
QM1H,2025-06-15,,2025-10,Equipe 19
QM1H,2025-06-15,,2025-11,Equipe 19
QM1H,2025-06-15,,2025-12,Equipe 19
8OJR,2025-04-05,,2025-05,Equipe 20
8OJR,2025-04-05,,2025-06,Equipe 20
8OJR,2025-04-05,,2025-07,Equipe 20
8OJR,2025-04-05,,2025-08,Equipe 20
8OJR,2025-04-05,,2025-09,Equipe 20
8OJR,2025-04-05,,2025-10,Equipe 20
8OJR,2025-04-05,,2025-11,Equipe 20
8OJR,2025-04-05,,2025-12,Equipe 20
JEDK,2025-02-05,2025-09-15,2025-03,Equipe 8
JEDK,2025-02-05,2025-09-15,2025-04,Equipe 8
JEDK,2025-02-05,2025-09-15,2025-05,Equipe 3
JEDK,2025-02-05,2025-09-15,2025-06,Equipe 3
JEDK,2025-02-05,2025-09-15,2025-07,Equipe 3
JEDK,2025-02-05,2025-09-15,2025-08,Equipe 3
JEDK,2025-02-05,2025-09-15,2025-09,Equipe 3
TS2H,2025-07-04,,2025-08,Equipe 19
TS2H,2025-07-04,,2025-09,Equipe 19
TS2H,2025-07-04,,2025-10,Equipe 19
TS2H,2025-07-04,,2025-11,Equipe 19
TS2H,2025-07-04,,2025-12,Equipe 15
3TZR,2025-08-10,,2025-09,Equipe 15
3TZR,2025-08-10,,2025-10,Equipe 15
3TZR,2025-08-10,,2025-11,Equipe 5
3TZR,2025-08-10,,2025-12,Equipe 5
6852,2025-02-06,,2025-03,Equipe 12
6852,2025-02-06,,2025-04,Equipe 12
6852,2025-02-06,,2025-05,Equipe 12
6852,2025-02-06,,2025-06,Equipe 12
6852,2025-02-06,,2025-07,Equipe 12
6852,2025-02-06,,2025-08,Equipe 12
6852,2025-02-06,,2025-09,Equipe 12
6852,2025-02-06,,2025-10,Equipe 12
6852,2025-02-06,,2025-11,Equipe 12
6852,2025-02-06,,2025-12,Equipe 12
QBFO,2025-06-05,2025-07-12,2025-07,Equipe 15
BRCL,2025-09-02,,2025-10,Equipe 20
BRCL,2025-09-02,,2025-11,Equipe 20
BRCL,2025-09-02,,2025-12,Equipe 20
472R,2025-03-01,,2025-03,Equipe 17
472R,2025-03-01,,2025-04,Equipe 10
472R,2025-03-01,,2025-05,Equipe 10
472R,2025-03-01,,2025-06,Equipe 10
472R,2025-03-01,,2025-07,Equipe 10
472R,2025-03-01,,2025-08,Equipe 10
472R,2025-03-01,,2025-09,Equipe 6
472R,2025-03-01,,2025-10,Equipe 6
472R,2025-03-01,,2025-11,Equipe 6
472R,2025-03-01,,2025-12,Equipe 18
L15F,2025-09-24,,2025-10,Equipe 4
L15F,2025-09-24,,2025-11,Equipe 4
L15F,2025-09-24,,2025-12,Equipe 4
4W0V,2025-08-04,,2025-09,Equipe 12
4W0V,2025-08-04,,2025-10,Equipe 12
4W0V,2025-08-04,,2025-11,Equipe 12
4W0V,2025-08-04,,2025-12,Equipe 12
UGKV,2025-02-01,2025-05-05,2025-02,Equipe 13
UGKV,2025-02-01,2025-05-05,2025-03,Equipe 13
UGKV,2025-02-01,2025-05-05,2025-04,Equipe 13
UGKV,2025-02-01,2025-05-05,2025-05,Equipe 13
05SZ,2025-07-12,,2025-08,Equipe 15
05SZ,2025-07-12,,2025-09,Equipe 15
05SZ,2025-07-12,,2025-10,Equipe 15
05SZ,2025-07-12,,2025-11,Equipe 15
05SZ,2025-07-12,,2025-12,Equipe 15
9C3F,2025-10-19,,2025-11,Equipe 11
9C3F,2025-10-19,,2025-12,Equipe 11
UQUH,2025-01-03,2025-11-15,2025-02,Equipe 11
UQUH,2025-01-03,2025-11-15,2025-03,Equipe 11
UQUH,2025-01-03,2025-11-15,2025-04,Equipe 11
UQUH,2025-01-03,2025-11-15,2025-05,Equipe 11
UQUH,2025-01-03,2025-11-15,2025-06,Equipe 11
UQUH,2025-01-03,2025-11-15,2025-07,Equipe 11
UQUH,2025-01-03,2025-11-15,2025-08,Equipe 10
UQUH,2025-01-03,2025-11-15,2025-09,Equipe 10
UQUH,2025-01-03,2025-11-15,2025-10,Equipe 10
UQUH,2025-01-03,2025-11-15,2025-11,Equipe 10
Z6A8,2025-02-28,,2025-03,Equipe 13
Z6A8,2025-02-28,,2025-04,Equipe 13
Z6A8,2025-02-28,,2025-05,Equipe 13
Z6A8,2025-02-28,,2025-06,Equipe 13
Z6A8,2025-02-28,,2025-07,Equipe 13
Z6A8,2025-02-28,,2025-08,Equipe 13
Z6A8,2025-02-28,,2025-09,Equipe 13
Z6A8,2025-02-28,,2025-10,Equipe 13
Z6A8,2025-02-28,,2025-11,Equipe 13
Z6A8,2025-02-28,,2025-12,Equipe 13
30DM,2025-02-02,,2025-03,Equipe 19
30DM,2025-02-02,,2025-04,Equipe 19
30DM,2025-02-02,,2025-05,Equipe 19
30DM,2025-02-02,,2025-06,Equipe 19
30DM,2025-02-02,,2025-07,Equipe 19
30DM,2025-02-02,,2025-08,Equipe 19
30DM,2025-02-02,,2025-09,Equipe 19
30DM,2025-02-02,,2025-10,Equipe 19
30DM,2025-02-02,,2025-11,Equipe 19
30DM,2025-02-02,,2025-12,Equipe 19
7X52,2025-03-19,,2025-04,Equipe 10
7X52,2025-03-19,,2025-05,Equipe 10
7X52,2025-03-19,,2025-06,Equipe 10
7X52,2025-03-19,,2025-07,Equipe 10
7X52,2025-03-19,,2025-08,Equipe 10
7X52,2025-03-19,,2025-09,Equipe 10
7X52,2025-03-19,,2025-10,Equipe 10
7X52,2025-03-19,,2025-11,Equipe 10
7X52,2025-03-19,,2025-12,Equipe 10
DNR9,2025-08-01,,2025-08,Equipe 20
DNR9,2025-08-01,,2025-09,Equipe 20
DNR9,2025-08-01,,2025-10,Equipe 20
DNR9,2025-08-01,,2025-11,Equipe 20
DNR9,2025-08-01,,2025-12,Equipe 5
IS25,2025-03-12,,2025-04,Equipe 3
IS25,2025-03-12,,2025-05,Equipe 3
IS25,2025-03-12,,2025-06,Equipe 3
IS25,2025-03-12,,2025-07,Equipe 3
IS25,2025-03-12,,2025-08,Equipe 3
IS25,2025-03-12,,2025-09,Equipe 3
IS25,2025-03-12,,2025-10,Equipe 3
IS25,2025-03-12,,2025-11,Equipe 3
IS25,2025-03-12,,2025-12,Equipe 3
HBPK,2025-05-09,,2025-06,Equipe 14
HBPK,2025-05-09,,2025-07,Equipe 14
HBPK,2025-05-09,,2025-08,Equipe 14
HBPK,2025-05-09,,2025-09,Equipe 14
HBPK,2025-05-09,,2025-10,Equipe 14
HBPK,2025-05-09,,2025-11,Equipe 14
HBPK,2025-05-09,,2025-12,Equipe 14
T9A9,2025-01-20,,2025-02,Equipe 13
T9A9,2025-01-20,,2025-03,Equipe 13
T9A9,2025-01-20,,2025-04,Equipe 13
T9A9,2025-01-20,,2025-05,Equipe 13
T9A9,2025-01-20,,2025-06,Equipe 13
T9A9,2025-01-20,,2025-07,Equipe 13
T9A9,2025-01-20,,2025-08,Equipe 13
T9A9,2025-01-20,,2025-09,Equipe 13
T9A9,2025-01-20,,2025-10,Equipe 13
T9A9,2025-01-20,,2025-11,Equipe 13
T9A9,2025-01-20,,2025-12,Equipe 13
0FOH,2025-11-10,,2025-12,Equipe 16
3HJ5,2025-08-02,2025-11-05,2025-09,Equipe 7
3HJ5,2025-08-02,2025-11-05,2025-10,Equipe 7
3HJ5,2025-08-02,2025-11-05,2025-11,Equipe 7
S6R0,2025-04-21,,2025-05,Equipe 3
S6R0,2025-04-21,,2025-06,Equipe 3
S6R0,2025-04-21,,2025-07,Equipe 3
S6R0,2025-04-21,,2025-08,Equipe 3
S6R0,2025-04-21,,2025-09,Equipe 3
S6R0,2025-04-21,,2025-10,Equipe 3
S6R0,2025-04-21,,2025-11,Equipe 3
S6R0,2025-04-21,,2025-12,Equipe 3
44P3,2025-04-21,,2025-05,Equipe 6
44P3,2025-04-21,,2025-06,Equipe 6
44P3,2025-04-21,,2025-07,Equipe 6
44P3,2025-04-21,,2025-08,Equipe 6
44P3,2025-04-21,,2025-09,Equipe 6
44P3,2025-04-21,,2025-10,Equipe 6
44P3,2025-04-21,,2025-11,Equipe 6
44P3,2025-04-21,,2025-12,Equipe 6
9JYM,2025-01-13,,2025-02,Equipe 7
9JYM,2025-01-13,,2025-03,Equipe 7
9JYM,2025-01-13,,2025-04,Equipe 7
9JYM,2025-01-13,,2025-05,Equipe 7
9JYM,2025-01-13,,2025-06,Equipe 7
9JYM,2025-01-13,,2025-07,Equipe 7
9JYM,2025-01-13,,2025-08,Equipe 7
9JYM,2025-01-13,,2025-09,Equipe 7
9JYM,2025-01-13,,2025-10,Equipe 7
9JYM,2025-01-13,,2025-11,Equipe 7
9JYM,2025-01-13,,2025-12,Equipe 7
6IER,2025-08-18,,2025-09,Equipe 2
6IER,2025-08-18,,2025-10,Equipe 2
6IER,2025-08-18,,2025-11,Equipe 2
6IER,2025-08-18,,2025-12,Equipe 2
0V6R,2025-10-17,,2025-11,Equipe 2
0V6R,2025-10-17,,2025-12,Equipe 2
AST5,2025-03-01,,2025-03,Equipe 17
AST5,2025-03-01,,2025-04,Equipe 17
AST5,2025-03-01,,2025-05,Equipe 17
AST5,2025-03-01,,2025-06,Equipe 17
