Card,Data da alteração,Objeto alterado,Valor anterior,Valor posterior
101670,2025-03-17,status,For Technical Analysis,In Technical Analysis
101670,2025-03-23,status,In Technical Analysis,Ready for Development
101670,2025-03-29,status,Ready for Development,In Development
116270,2025-08-01,status,Lista de desejos,Backlog
116270,2025-08-04,status,Backlog,Triage
116270,2025-08-07,status,Triage,For Refinement
116270,2025-08-09,status,For Refinement,In Refinement
116270,2025-08-12,status,In Refinement,In Progress
116270,2025-08-15,status,In Progress,Done
105265,2025-04-14,status,Backlog,Triage
105265,2025-04-17,status,Triage,For Refinement
105265,2025-04-20,status,For Refinement,In Refinement
105265,2025-04-23,status,In Refinement,For Technical Analysis
105265,2025-04-26,status,For Technical Analysis,In Technical Analysis
105265,2025-04-29,status,In Technical Analysis,Ready for Development
105265,2025-05-02,status,Ready for Development,In Development
105265,2025-05-05,status,In Development,For Release
105265,2025-05-08,status,For Release,Waiting Information
105265,2025-05-11,status,Waiting Information,Information Sent
110133,2025-02-03,status,Lista de desejos,Backlog
110133,2025-02-06,status,Backlog,Triage
110133,2025-02-09,status,Triage,For Refinement
110133,2025-02-11,status,For Refinement,In Refinement
110133,2025-02-13,status,In Refinement,In Progress
110133,2025-02-16,status,In Progress,Done
110133,2025-02-19,status,Done,Canceled
106313,2025-12-20,status,Backlog,Triage
106313,2025-12-26,status,Triage,For Refinement
106313,2026-01-02,status,For Refinement,In Refinement
106313,2026-01-08,status,In Refinement,For Technical Analysis
106313,2026-01-15,status,For Technical Analysis,In Technical Analysis
106313,2026-01-21,status,In Technical Analysis,Ready for Development
114750,2025-06-24,status,Lista de desejos,Backlog
114750,2025-06-27,status,Backlog,Triage
114750,2025-06-29,status,Triage,For Refinement
114750,2025-07-02,status,For Refinement,In Refinement
114750,2025-07-05,status,In Refinement,In Progress
114750,2025-07-07,status,In Progress,Done
114750,2025-07-10,status,Done,Canceled
113284,2025-07-06,status,Lista de desejos,Backlog
113284,2025-07-08,status,Backlog,Triage
113284,2025-07-10,status,Triage,For Refinement
113284,2025-07-11,status,For Refinement,In Refinement
113284,2025-07-13,status,In Refinement,In Progress
113284,2025-07-15,status,In Progress,Done
104893,2025-09-19,status,Backlog,Triage
104893,2025-09-22,status,Triage,For Refinement
104893,2025-09-25,status,For Refinement,In Refinement
104893,2025-09-29,status,In Refinement,For Technical Analysis
104893,2025-10-02,status,For Technical Analysis,In Technical Analysis
104893,2025-10-05,status,In Technical Analysis,Ready for Development
103969,2025-08-21,status,Backlog,Triage
103969,2025-08-28,status,Triage,For Refinement
103969,2025-09-04,status,For Refinement,In Refinement
103969,2025-09-11,status,In Refinement,For Technical Analysis
103969,2025-09-17,status,For Technical Analysis,In Technical Analysis
103969,2025-09-24,status,In Technical Analysis,Ready for Development
103969,2025-10-01,status,Ready for Development,In Development
105920,2025-06-13,status,Lista de desejos,Backlog
105920,2025-06-17,status,Backlog,Triage
105920,2025-06-21,status,Triage,For Refinement
105920,2025-06-24,status,For Refinement,In Refinement
105920,2025-06-28,status,In Refinement,In Progress
105920,2025-07-02,status,In Progress,Done
108135,2025-05-06,status,Lista de desejos,Backlog
108135,2025-05-07,status,Backlog,Triage
108135,2025-05-09,status,Triage,For Refinement
108135,2025-05-10,status,For Refinement,In Refinement
108135,2025-05-12,status,In Refinement,In Progress
108135,2025-05-13,status,In Progress,Done
105946,2025-05-12,status,Backlog,Triage
105946,2025-05-20,status,Triage,For Refinement
105946,2025-05-29,status,For Refinement,In Refinement
105946,2025-06-07,status,In Refinement,For Technical Analysis
105946,2025-06-15,status,For Technical Analysis,In Technical Analysis
114997,2025-12-17,status,Lista de desejos,Backlog
114997,2025-12-20,status,Backlog,Triage
114997,2025-12-24,status,Triage,For Refinement
114997,2025-12-27,status,For Refinement,In Refinement
114997,2025-12-31,status,In Refinement,In Progress
114997,2026-01-03,status,In Progress,Done
112685,2025-05-17,status,Lista de desejos,Backlog
112685,2025-05-19,status,Backlog,Triage
112685,2025-05-22,status,Triage,For Refinement
112685,2025-05-25,status,For Refinement,In Refinement
112685,2025-05-28,status,In Refinement,In Progress
112685,2025-05-30,status,In Progress,Done
100904,2025-11-05,status,Backlog,Triage
100904,2025-11-08,status,Triage,For Refinement
100904,2025-11-11,status,For Refinement,In Refinement
100904,2025-11-14,status,In Refinement,For Technical Analysis
100904,2025-11-17,status,For Technical Analysis,In Technical Analysis
100904,2025-11-20,status,In Technical Analysis,Ready for Development
100904,2025-11-23,status,Ready for Development,In Development
113101,2025-07-14,status,Lista de desejos,Backlog
113101,2025-07-29,status,Backlog,Triage
113101,2025-08-12,status,Triage,For Refinement
101309,2025-05-28,status,Lista de desejos,Backlog
101309,2025-05-31,status,Backlog,Triage
101309,2025-06-04,status,Triage,For Refinement
101309,2025-06-07,status,For Refinement,In Refinement
101309,2025-06-11,status,In Refinement,In Progress
101309,2025-06-14,status,In Progress,Done
111423,2025-10-28,status,Lista de desejos,Backlog
111423,2025-11-02,status,Backlog,Triage
111423,2025-11-06,status,Triage,For Refinement
111423,2025-11-10,status,For Refinement,In Refinement
111423,2025-11-14,status,In Refinement,In Progress
111423,2025-11-19,status,In Progress,Done
103775,2025-09-29,status,Lista de desejos,Backlog
103775,2025-10-02,status,Backlog,Triage
103775,2025-10-06,status,Triage,For Refinement
103775,2025-10-10,status,For Refinement,In Refinement
103775,2025-10-14,status,In Refinement,In Progress
103775,2025-10-17,status,In Progress,Done
114076,2025-06-26,status,Lista de desejos,Backlog
114076,2025-06-27,status,Backlog,Triage
114076,2025-06-29,status,Triage,For Refinement
114076,2025-07-01,status,For Refinement,In Refinement
114076,2025-07-03,status,In Refinement,In Progress
114076,2025-07-04,status,In Progress,Done
100436,2025-11-25,status,Backlog,Triage
100436,2025-11-29,status,Triage,For Refinement
100436,2025-12-04,status,For Refinement,In Refinement
100436,2025-12-09,status,In Refinement,For Technical Analysis
100436,2025-12-13,status,For Technical Analysis,In Technical Analysis
114825,2025-07-04,status,Lista de desejos,Backlog
114825,2025-07-07,status,Backlog,Triage
114825,2025-07-09,status,Triage,For Refinement
114825,2025-07-12,status,For Refinement,In Refinement
114825,2025-07-14,status,In Refinement,In Progress
114825,2025-07-17,status,In Progress,Done
100629,2025-08-09,status,Lista de desejos,Backlog
100629,2025-08-13,status,Backlog,Triage
100629,2025-08-16,status,Triage,For Refinement
100629,2025-08-20,status,For Refinement,In Refinement
100629,2025-08-23,status,In Refinement,In Progress
100629,2025-08-26,status,In Progress,Done
100629,2025-08-30,status,Done,Canceled
115575,2025-09-24,status,Lista de desejos,Backlog
115575,2025-09-27,status,Backlog,Triage
115575,2025-09-29,status,Triage,For Refinement
115575,2025-10-01,status,For Refinement,In Refinement
115575,2025-10-03,status,In Refinement,In Progress
115575,2025-10-06,status,In Progress,Done
124712,2025-06-08,status,Lista de desejos,Backlog
124712,2025-06-10,status,Backlog,Triage
124712,2025-06-12,status,Triage,For Refinement
124712,2025-06-13,status,For Refinement,In Refinement
124712,2025-06-15,status,In Refinement,In Progress
124712,2025-06-17,status,In Progress,Done
113932,2025-05-20,status,Backlog,Triage
104981,2025-08-30,status,Lista de desejos,Backlog
104981,2025-09-03,status,Backlog,Triage
104981,2025-09-06,status,Triage,For Refinement
104981,2025-09-09,status,For Refinement,In Refinement
104981,2025-09-12,status,In Refinement,In Progress
104981,2025-09-16,status,In Progress,Done
122256,2025-07-26,status,Lista de desejos,Backlog
122256,2025-07-28,status,Backlog,Triage
122256,2025-07-30,status,Triage,For Refinement
122256,2025-08-02,status,For Refinement,In Refinement
122256,2025-08-04,status,In Refinement,In Progress
122256,2025-08-06,status,In Progress,Done
116869,2025-08-08,status,Backlog,Triage
116869,2025-08-14,status,Triage,For Refinement
121055,2025-04-01,status,Lista de desejos,Backlog
121055,2025-04-05,status,Backlog,Triage
121055,2025-04-08,status,Triage,For Refinement
121055,2025-04-11,status,For Refinement,In Refinement
121055,2025-04-14,status,In Refinement,In Progress
121055,2025-04-18,status,In Progress,Done
124576,2025-09-14,status,Lista de desejos,Backlog
124576,2025-09-17,status,Backlog,Triage
124576,2025-09-20,status,Triage,For Refinement
124576,2025-09-24,status,For Refinement,In Refinement
124576,2025-09-27,status,In Refinement,In Progress
124576,2025-09-30,status,In Progress,Done
103156,2025-10-13,status,Backlog,Triage
103156,2025-10-22,status,Triage,For Refinement
103156,2025-10-31,status,For Refinement,In Refinement
123049,2025-06-10,status,Lista de desejos,Backlog
123049,2025-06-13,status,Backlog,Triage
123049,2025-06-16,status,Triage,For Refinement
123049,2025-06-18,status,For Refinement,In Refinement
123049,2025-06-21,status,In Refinement,In Progress
123049,2025-06-24,status,In Progress,Done
113794,2025-02-23,status,Lista de desejos,Backlog
113794,2025-02-25,status,Backlog,Triage
113794,2025-02-27,status,Triage,For Refinement
113794,2025-03-01,status,For Refinement,In Refinement
113794,2025-03-03,status,In Refinement,In Progress
113794,2025-03-05,status,In Progress,Done
113636,2025-12-09,status,Lista de desejos,Backlog
113636,2025-12-10,status,Backlog,Triage
113636,2025-12-12,status,Triage,For Refinement
113636,2025-12-14,status,For Refinement,In Refinement
113636,2025-12-16,status,In Refinement,In Progress
113636,2025-12-17,status,In Progress,Done
122005,2025-05-19,status,Lista de desejos,Backlog
122005,2025-05-22,status,Backlog,Triage
122005,2025-05-24,status,Triage,For Refinement
122005,2025-05-26,status,For Refinement,In Refinement
122005,2025-05-28,status,In Refinement,In Progress
122005,2025-05-31,status,In Progress,Done
120561,2025-08-15,status,Lista de desejos,Backlog
120561,2025-08-18,status,Backlog,Triage
120561,2025-08-22,status,Triage,For Refinement
120561,2025-08-25,status,For Refinement,In Refinement
120561,2025-08-29,status,In Refinement,In Progress
120561,2025-09-01,status,In Progress,Done
116159,2025-07-22,status,Lista de desejos,Backlog
116159,2025-07-24,status,Backlog,Triage
116159,2025-07-25,status,Triage,For Refinement
116159,2025-07-27,status,For Refinement,In Refinement
116159,2025-07-29,status,In Refinement,In Progress
116159,2025-07-30,status,In Progress,Done
116159,2025-08-01,status,Done,Canceled
114918,2025-07-14,status,Backlog,Triage
114918,2025-07-20,status,Triage,For Refinement
114918,2025-07-25,status,For Refinement,In Refinement
114918,2025-07-31,status,In Refinement,For Technical Analysis
121254,2025-08-18,status,Backlog,Triage
121254,2025-08-23,status,Triage,For Refinement
121254,2025-08-29,status,For Refinement,In Refinement
121254,2025-09-03,status,In Refinement,For Technical Analysis
121254,2025-09-09,status,For Technical Analysis,In Technical Analysis
121254,2025-09-14,status,In Technical Analysis,Ready for Development
104484,2025-03-05,status,Lista de desejos,Backlog
104484,2025-03-06,status,Backlog,Triage
104484,2025-03-08,status,Triage,For Refinement
104484,2025-03-10,status,For Refinement,In Refinement
104484,2025-03-12,status,In Refinement,In Progress
104484,2025-03-13,status,In Progress,Done
116077,2025-09-27,status,Backlog,Triage
116077,2025-10-02,status,Triage,For Refinement
116077,2025-10-08,status,For Refinement,In Refinement
116077,2025-10-13,status,In Refinement,For Technical Analysis
116077,2025-10-19,status,For Technical Analysis,In Technical Analysis
116077,2025-10-24,status,In Technical Analysis,Ready for Development
116077,2025-10-30,status,Ready for Development,In Development
116077,2025-11-04,status,In Development,For Release
100660,2025-09-23,status,Backlog,Triage
100660,2025-10-04,status,Triage,For Refinement
116700,2025-06-20,status,Lista de desejos,Backlog
116700,2025-06-23,status,Backlog,Triage
116700,2025-06-26,status,Triage,For Refinement
116700,2025-06-30,status,For Refinement,In Refinement
116700,2025-07-04,status,In Refinement,In Progress
116700,2025-07-07,status,In Progress,Done
116700,2025-07-10,status,Done,Canceled
109269,2025-08-15,status,Lista de desejos,Backlog
109269,2025-08-17,status,Backlog,Triage
109269,2025-08-19,status,Triage,For Refinement
109269,2025-08-20,status,For Refinement,In Refinement
109269,2025-08-22,status,In Refinement,In Progress
109269,2025-08-24,status,In Progress,Done
110975,2025-07-03,status,Backlog,Triage
107334,2025-05-26,status,Lista de desejos,Backlog
107334,2025-05-31,status,Backlog,Triage
107334,2025-06-05,status,Triage,For Refinement
107334,2025-06-11,status,For Refinement,In Refinement
107334,2025-06-17,status,In Refinement,In Progress
103847,2025-11-18,status,Lista de desejos,Backlog
103847,2025-11-20,status,Backlog,Triage
103847,2025-11-23,status,Triage,For Refinement
103847,2025-11-25,status,For Refinement,In Refinement
103847,2025-11-28,status,In Refinement,In Progress
103847,2025-11-30,status,In Progress,Done
123593,2025-05-24,status,Lista de desejos,Backlog
123593,2025-05-25,status,Backlog,Triage
123593,2025-05-27,status,Triage,For Refinement
123593,2025-05-28,status,For Refinement,In Refinement
123593,2025-05-30,status,In Refinement,In Progress
123593,2025-05-31,status,In Progress,Done
119433,2025-05-25,status,Backlog,Triage
119433,2025-06-02,status,Triage,For Refinement
119433,2025-06-10,status,For Refinement,In Refinement
100551,2025-05-25,status,Lista de desejos,Backlog
100551,2025-05-28,status,Backlog,Triage
100551,2025-05-31,status,Triage,For Refinement
100551,2025-06-03,status,For Refinement,In Refinement
100551,2025-06-06,status,In Refinement,In Progress
100551,2025-06-09,status,In Progress,Done
118125,2025-06-26,status,Lista de desejos,Backlog
118125,2025-06-30,status,Backlog,Triage
118125,2025-07-03,status,Triage,For Refinement
118125,2025-07-06,status,For Refinement,In Refinement
118125,2025-07-09,status,In Refinement,In Progress
118125,2025-07-13,status,In Progress,Done
106369,2025-10-17,status,Lista de desejos,Backlog
106369,2025-10-20,status,Backlog,Triage
106369,2025-10-24,status,Triage,For Refinement
106369,2025-10-27,status,For Refinement,In Refinement
106369,2025-10-31,status,In Refinement,In Progress
106369,2025-11-03,status,In Progress,Done
107037,2025-04-09,status,Lista de desejos,Backlog
107037,2025-04-12,status,Backlog,Triage
107037,2025-04-16,status,Triage,For Refinement
107037,2025-04-19,status,For Refinement,In Refinement
107037,2025-04-22,status,In Refinement,In Progress
107037,2025-04-26,status,In Progress,Done
107037,2025-04-29,status,Done,Canceled
112034,2025-05-02,status,Lista de desejos,Backlog
112731,2025-05-28,status,Lista de desejos,Backlog
112731,2025-05-31,status,Backlog,Triage
112731,2025-06-03,status,Triage,For Refinement
112731,2025-06-07,status,For Refinement,In Refinement
112731,2025-06-10,status,In Refinement,In Progress
112731,2025-06-13,status,In Progress,Done
112528,2025-10-19,status,Lista de desejos,Backlog
112528,2025-10-23,status,Backlog,Triage
112528,2025-10-26,status,Triage,For Refinement
112528,2025-10-30,status,For Refinement,In Refinement
112528,2025-11-02,status,In Refinement,In Progress
112528,2025-11-05,status,In Progress,Done
112528,2025-11-09,status,Done,Canceled
100224,2025-04-09,status,Lista de desejos,Backlog
100224,2025-04-12,status,Backlog,Triage
100224,2025-04-15,status,Triage,For Refinement
100224,2025-04-17,status,For Refinement,In Refinement
100224,2025-04-20,status,In Refinement,In Progress
100224,2025-04-23,status,In Progress,Done
121520,2025-09-07,status,Lista de desejos,Backlog
121520,2025-09-09,status,Backlog,Triage
121520,2025-09-11,status,Triage,For Refinement
121520,2025-09-13,status,For Refinement,In Refinement
121520,2025-09-15,status,In Refinement,In Progress
121520,2025-09-17,status,In Progress,Done
101950,2025-01-29,status,Lista de desejos,Backlog
101950,2025-02-02,status,Backlog,Triage
101950,2025-02-06,status,Triage,For Refinement
101950,2025-02-11,status,For Refinement,In Refinement
101950,2025-02-15,status,In Refinement,In Progress
101950,2025-02-19,status,In Progress,Done
120898,2025-04-04,status,Lista de desejos,Backlog
120898,2025-04-06,status,Backlog,Triage
120898,2025-04-08,status,Triage,For Refinement
120898,2025-04-09,status,For Refinement,In Refinement
120898,2025-04-11,status,In Refinement,In Progress
120898,2025-04-13,status,In Progress,Done
121811,2025-11-28,status,Lista de desejos,Backlog
121811,2025-12-01,status,Backlog,Triage
121811,2025-12-04,status,Triage,For Refinement
121811,2025-12-06,status,For Refinement,In Refinement
121811,2025-12-09,status,In Refinement,In Progress
121811,2025-12-12,status,In Progress,Done
105353,2025-06-14,status,Backlog,Triage
105353,2025-06-20,status,Triage,For Refinement
105353,2025-06-25,status,For Refinement,In Refinement
105353,2025-07-01,status,In Refinement,For Technical Analysis
105353,2025-07-07,status,For Technical Analysis,In Technical Analysis
105353,2025-07-13,status,In Technical Analysis,Ready for Development
105353,2025-07-18,status,Ready for Development,In Development
105353,2025-07-24,status,In Development,For Release
118219,2025-07-13,status,Backlog,Triage
118219,2025-07-17,status,Triage,For Refinement
118219,2025-07-21,status,For Refinement,In Refinement
118219,2025-07-24,status,In Refinement,For Technical Analysis
118219,2025-07-28,status,For Technical Analysis,In Technical Analysis
118219,2025-08-01,status,In Technical Analysis,Ready for Development
122624,2025-03-24,status,Lista de desejos,Backlog
122624,2025-03-25,status,Backlog,Triage
122624,2025-03-26,status,Triage,For Refinement
122624,2025-03-28,status,For Refinement,In Refinement
122624,2025-03-30,status,In Refinement,In Progress
122624,2025-03-31,status,In Progress,Done
122624,2025-04-01,status,Done,Canceled
109816,2025-06-21,status,Lista de desejos,Backlog
109816,2025-06-25,status,Backlog,Triage
109816,2025-06-29,status,Triage,For Refinement
109816,2025-07-04,status,For Refinement,In Refinement
109816,2025-07-08,status,In Refinement,In Progress
109816,2025-07-12,status,In Progress,Done
121103,2025-03-20,status,Backlog,Triage
121103,2025-03-27,status,Triage,For Refinement
121103,2025-04-02,status,For Refinement,In Refinement
121103,2025-04-09,status,In Refinement,For Technical Analysis
121103,2025-04-16,status,For Technical Analysis,In Technical Analysis
121103,2025-04-22,status,In Technical Analysis,Ready for Development
121103,2025-04-29,status,Ready for Development,In Development
106364,2025-09-01,status,Lista de desejos,Backlog
106364,2025-09-04,status,Backlog,Triage
106364,2025-09-07,status,Triage,For Refinement
106364,2025-09-09,status,For Refinement,In Refinement
106364,2025-09-12,status,In Refinement,In Progress
106364,2025-09-15,status,In Progress,Done
113315,2025-09-13,status,Lista de desejos,Backlog
113315,2025-09-17,status,Backlog,Triage
113315,2025-09-21,status,Triage,For Refinement
113315,2025-09-24,status,For Refinement,In Refinement
113315,2025-09-28,status,In Refinement,In Progress
113315,2025-10-02,status,In Progress,Done
105350,2025-03-13,status,Backlog,Triage
105350,2025-03-26,status,Triage,For Refinement
105350,2025-04-09,status,For Refinement,In Refinement
101508,2025-08-06,status,Lista de desejos,Backlog
101508,2025-08-09,status,Backlog,Triage
101508,2025-08-12,status,Triage,For Refinement
101508,2025-08-16,status,For Refinement,In Refinement
101508,2025-08-19,status,In Refinement,In Progress
101508,2025-08-22,status,In Progress,Done
116799,2025-08-30,status,Lista de desejos,Backlog
116799,2025-09-03,status,Backlog,Triage
116799,2025-09-07,status,Triage,For Refinement
116799,2025-09-11,status,For Refinement,In Refinement
116799,2025-09-15,status,In Refinement,In Progress
116799,2025-09-19,status,In Progress,Done
124525,2025-08-22,status,Lista de desejos,Backlog
124525,2025-08-26,status,Backlog,Triage
124525,2025-08-30,status,Triage,For Refinement
124525,2025-09-03,status,For Refinement,In Refinement
124525,2025-09-07,status,In Refinement,In Progress
124525,2025-09-11,status,In Progress,Done
117693,2025-07-07,status,Backlog,Triage
117693,2025-07-15,status,Triage,For Refinement
117693,2025-07-22,status,For Refinement,In Refinement
117693,2025-07-29,status,In Refinement,For Technical Analysis
117693,2025-08-05,status,For Technical Analysis,In Technical Analysis
117693,2025-08-13,status,In Technical Analysis,Ready for Development
111186,2025-09-13,status,Lista de desejos,Backlog
111186,2025-09-15,status,Backlog,Triage
111186,2025-09-18,status,Triage,For Refinement
111186,2025-09-21,status,For Refinement,In Refinement
111186,2025-09-24,status,In Refinement,In Progress
111186,2025-09-26,status,In Progress,Done
104681,2025-06-12,status,Lista de desejos,Backlog
104681,2025-06-16,status,Backlog,Triage
104681,2025-06-20,status,Triage,For Refinement
104681,2025-06-23,status,For Refinement,In Refinement
104681,2025-06-27,status,In Refinement,In Progress
104681,2025-07-01,status,In Progress,Done
100447,2025-11-22,status,Lista de desejos,Backlog
100447,2025-11-26,status,Backlog,Triage
100447,2025-11-30,status,Triage,For Refinement
100447,2025-12-03,status,For Refinement,In Refinement
100447,2025-12-07,status,In Refinement,In Progress
100447,2025-12-11,status,In Progress,Done
105271,2025-04-11,status,Lista de desejos,Backlog
105271,2025-04-13,status,Backlog,Triage
105271,2025-04-15,status,Triage,For Refinement
105271,2025-04-18,status,For Refinement,In Refinement
105271,2025-04-20,status,In Refinement,In Progress
105271,2025-04-22,status,In Progress,Done
112027,2025-09-02,status,Backlog,Triage
111737,2025-07-27,status,Backlog,Triage
111737,2025-08-06,status,Triage,For Refinement
111737,2025-08-16,status,For Refinement,In Refinement
111737,2025-08-26,status,In Refinement,For Technical Analysis
108658,2025-05-11,status,Lista de desejos,Backlog
108658,2025-05-13,status,Backlog,Triage
108658,2025-05-16,status,Triage,For Refinement
108658,2025-05-18,status,For Refinement,In Refinement
108658,2025-05-21,status,In Refinement,In Progress
108658,2025-05-24,status,In Progress,Done
108658,2025-05-26,status,Done,Canceled
119763,2025-07-16,status,Lista de desejos,Backlog
119763,2025-07-19,status,Backlog,Triage
119763,2025-07-23,status,Triage,For Refinement
119763,2025-07-27,status,For Refinement,In Refinement
119763,2025-07-31,status,In Refinement,In Progress
119763,2025-08-03,status,In Progress,Done
111649,2025-07-28,status,Lista de desejos,Backlog
111649,2025-07-29,status,Backlog,Triage
111649,2025-07-31,status,Triage,For Refinement
111649,2025-08-01,status,For Refinement,In Refinement
111649,2025-08-03,status,In Refinement,In Progress
111649,2025-08-04,status,In Progress,Done
118188,2025-08-22,status,Lista de desejos,Backlog
118188,2025-08-24,status,Backlog,Triage
118188,2025-08-27,status,Triage,For Refinement
118188,2025-08-29,status,For Refinement,In Refinement
118188,2025-09-01,status,In Refinement,In Progress
118188,2025-09-03,status,In Progress,Done
102249,2025-09-12,status,Backlog,Triage
102249,2025-09-15,status,Triage,For Refinement
102249,2025-09-18,status,For Refinement,In Refinement
102249,2025-09-20,status,In Refinement,For Technical Analysis
102249,2025-09-22,status,For Technical Analysis,In Technical Analysis
102249,2025-09-25,status,In Technical Analysis,Ready for Development
102249,2025-09-28,status,Ready for Development,In Development
105433,2025-07-02,status,Lista de desejos,Backlog
105433,2025-07-05,status,Backlog,Triage
105433,2025-07-08,status,Triage,For Refinement
105433,2025-07-10,status,For Refinement,In Refinement
105433,2025-07-13,status,In Refinement,In Progress
105433,2025-07-16,status,In Progress,Done
115838,2025-06-20,status,Lista de desejos,Backlog
115838,2025-06-24,status,Backlog,Triage
115838,2025-06-27,status,Triage,For Refinement
115838,2025-06-30,status,For Refinement,In Refinement
115838,2025-07-03,status,In Refinement,In Progress
115838,2025-07-07,status,In Progress,Done
109476,2025-02-16,status,Lista de desejos,Backlog
109476,2025-02-20,status,Backlog,Triage
109476,2025-02-23,status,Triage,For Refinement
109476,2025-02-27,status,For Refinement,In Refinement
109476,2025-03-02,status,In Refinement,In Progress
109476,2025-03-06,status,In Progress,Done
105048,2025-03-29,status,Backlog,Triage
108082,2025-04-19,status,Lista de desejos,Backlog
108082,2025-04-21,status,Backlog,Triage
108082,2025-04-24,status,Triage,For Refinement
108082,2025-04-26,status,For Refinement,In Refinement
108082,2025-04-29,status,In Refinement,In Progress
108082,2025-05-02,status,In Progress,Done
108082,2025-05-04,status,Done,Canceled
117919,2025-06-10,status,Lista de desejos,Backlog
117919,2025-06-14,status,Backlog,Triage
117919,2025-06-17,status,Triage,For Refinement
117919,2025-06-20,status,For Refinement,In Refinement
117919,2025-06-23,status,In Refinement,In Progress
117919,2025-06-27,status,In Progress,Done
111613,2025-06-27,status,Lista de desejos,Backlog
111613,2025-07-01,status,Backlog,Triage
111613,2025-07-05,status,Triage,For Refinement
111613,2025-07-08,status,For Refinement,In Refinement
111613,2025-07-12,status,In Refinement,In Progress
111613,2025-07-16,status,In Progress,Done
123317,2025-10-31,status,Lista de desejos,Backlog
123317,2025-11-03,status,Backlog,Triage
123317,2025-11-07,status,Triage,For Refinement
123317,2025-11-10,status,For Refinement,In Refinement
123317,2025-11-14,status,In Refinement,In Progress
123317,2025-11-17,status,In Progress,Done
108239,2025-11-16,status,Lista de desejos,Backlog
108239,2025-11-19,status,Backlog,Triage
108239,2025-11-22,status,Triage,For Refinement
108239,2025-11-25,status,For Refinement,In Refinement
108239,2025-11-28,status,In Refinement,In Progress
108239,2025-12-01,status,In Progress,Done
104309,2025-04-11,status,Lista de desejos,Backlog
104309,2025-04-13,status,Backlog,Triage
104309,2025-04-15,status,Triage,For Refinement
104309,2025-04-17,status,For Refinement,In Refinement
104309,2025-04-19,status,In Refinement,In Progress
104309,2025-04-21,status,In Progress,Done
116377,2025-01-04,status,Lista de desejos,Backlog
116377,2025-01-07,status,Backlog,Triage
116377,2025-01-09,status,Triage,For Refinement
116377,2025-01-12,status,For Refinement,In Refinement
116377,2025-01-14,status,In Refinement,In Progress
116377,2025-01-17,status,In Progress,Done
124635,2025-08-04,status,Lista de desejos,Backlog
124635,2025-08-06,status,Backlog,Triage
124635,2025-08-09,status,Triage,For Refinement
124635,2025-08-12,status,For Refinement,In Refinement
124635,2025-08-15,status,In Refinement,In Progress
124635,2025-08-17,status,In Progress,Done
101374,2025-08-24,status,Lista de desejos,Backlog
101374,2025-08-27,status,Backlog,Triage
101374,2025-08-29,status,Triage,For Refinement
101374,2025-09-01,status,For Refinement,In Refinement
101374,2025-09-03,status,In Refinement,In Progress
101374,2025-09-06,status,In Progress,Done
119252,2025-05-27,status,Lista de desejos,Backlog
119252,2025-05-30,status,Backlog,Triage
119252,2025-06-03,status,Triage,For Refinement
119252,2025-06-06,status,For Refinement,In Refinement
119252,2025-06-10,status,In Refinement,In Progress
119252,2025-06-13,status,In Progress,Done
124870,2025-05-15,status,Lista de desejos,Backlog
124870,2025-05-18,status,Backlog,Triage
124870,2025-05-22,status,Triage,For Refinement
124870,2025-05-25,status,For Refinement,In Refinement
124870,2025-05-29,status,In Refinement,In Progress
124870,2025-06-02,status,In Progress,Done
124870,2025-06-05,status,Done,Canceled
109477,2025-02-05,status,Lista de desejos,Backlog
109477,2025-02-09,status,Backlog,Triage
109477,2025-02-13,status,Triage,For Refinement
109477,2025-02-18,status,For Refinement,In Refinement
109477,2025-02-22,status,In Refinement,In Progress
109477,2025-02-26,status,In Progress,Done
122373,2025-10-16,status,Backlog,Triage
113554,2025-11-04,status,Lista de desejos,Backlog
113554,2025-11-08,status,Backlog,Triage
113554,2025-11-12,status,Triage,For Refinement
113554,2025-11-16,status,For Refinement,In Refinement
113554,2025-11-20,status,In Refinement,In Progress
113554,2025-11-24,status,In Progress,Done
121486,2025-12-10,status,Backlog,Triage
121486,2025-12-15,status,Triage,For Refinement
121486,2025-12-20,status,For Refinement,In Refinement
121486,2025-12-25,status,In Refinement,For Technical Analysis
111844,2025-08-31,status,Lista de desejos,Backlog
111844,2025-09-04,status,Backlog,Triage
111844,2025-09-08,status,Triage,For Refinement
111844,2025-09-13,status,For Refinement,In Refinement
111844,2025-09-17,status,In Refinement,In Progress
111844,2025-09-21,status,In Progress,Done
117094,2025-09-17,status,Backlog,Triage
124762,2025-04-17,status,Backlog,Triage
124567,2025-02-07,status,Lista de desejos,Backlog
124567,2025-02-12,status,Backlog,Triage
124567,2025-02-16,status,Triage,For Refinement
124567,2025-02-20,status,For Refinement,In Refinement
124567,2025-02-24,status,In Refinement,In Progress
124567,2025-03-01,status,In Progress,Done
104819,2025-03-23,status,Lista de desejos,Backlog
104819,2025-03-26,status,Backlog,Triage
104819,2025-03-30,status,Triage,For Refinement
104819,2025-04-02,status,For Refinement,In Refinement
104819,2025-04-06,status,In Refinement,In Progress
104819,2025-04-09,status,In Progress,Done
103733,2025-09-30,status,Backlog,Triage
103733,2025-10-12,status,Triage,For Refinement
118911,2026-01-01,status,Lista de desejos,Backlog
118911,2026-01-05,status,Backlog,Triage
118911,2026-01-09,status,Triage,For Refinement
118911,2026-01-12,status,For Refinement,In Refinement
